,0.001,0.0025,0.005,0.0075,0.01,0.1,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0
0,0.066,0.051,0.044,0.062,0.057,0.062,0.047,0.047,0.056,0.051,0.052,0.062,0.08,0.064
1,0.088,0.071,0.062,0.066,0.075,0.076,0.079,0.067,0.076,0.07,0.074,0.077,0.075,0.076
2,0.093,0.082,0.076,0.089,0.09,0.106,0.113,0.106,0.123,0.101,0.121,0.097,0.121,0.114
3,0.101,0.089,0.102,0.129,0.144,0.213,0.23,0.217,0.203,0.207,0.243,0.239,0.237,0.237
4,0.102,0.117,0.168,0.188,0.234,0.389,0.388,0.42,0.42,0.403,0.414,0.422,0.444,0.396
5,0.13,0.165,0.219,0.283,0.336,0.563,0.62,0.622,0.625,0.634,0.643,0.631,0.674,0.63
6,0.156,0.187,0.324,0.427,0.51,0.761,0.795,0.789,0.805,0.81,0.822,0.825,0.842,0.786
7,0.169,0.247,0.394,0.516,0.647,0.866,0.889,0.882,0.893,0.902,0.913,0.897,0.9,0.875
8,0.2,0.305,0.525,0.663,0.75,0.92,0.934,0.935,0.953,0.947,0.945,0.93,0.949,0.936
9,0.228,0.4,0.606,0.752,0.838,0.954,0.957,0.963,0.967,0.964,0.982,0.975,0.979,0.956
10,0.243,0.425,0.702,0.834,0.898,0.967,0.974,0.981,0.974,0.978,0.971,0.981,0.972,0.974
11,0.287,0.522,0.779,0.9,0.926,0.976,0.981,0.979,0.98,0.98,0.987,0.982,0.987,0.974
12,0.322,0.601,0.838,0.915,0.958,0.981,0.98,0.978,0.975,0.985,0.982,0.985,0.987,0.983
13,0.347,0.637,0.889,0.943,0.959,0.979,0.986,0.973,0.983,0.982,0.98,0.982,0.975,0.979
14,0.398,0.715,0.9,0.959,0.969,0.985,0.982,0.975,0.979,0.974,0.978,0.98,0.976,0.978
